timestamp,Temperature,Humidity,PM2.5,PM10,NO2,CO,SO2,AQI
2024-01-06 14:00:00,13.0,43.7,79.8,,42.8,1.63,27.2,162.8
2024-01-06 15:00:00,18.1,47.1,83.7,134.2,59.9,1.69,33.2,164.9
2024-01-06 16:00:00,13.3,50.9,79.0,123.0,51.7,,32.8,162.4
2024-01-06 17:00:00,13.7,48.0,81.7,177.2,76.2,2.11,,163.8
2024-01-06 18:00:00,15.2,58.1,74.5,127.4,59.3,2.38,36.2,160.1
2024-01-06 19:00:00,10.0,46.4,111.0,183.5,83.1,2.12,30.9,179.3
2024-01-06 20:00:00,11.7,62.5,87.2,133.6,73.7,2.32,32.6,166.7
2024-01-06 21:00:00,12.6,63.3,90.4,157.4,62.9,2.09,34.3,168.4
2024-01-06 22:00:00,5.5,60.3,116.1,214.3,55.9,1.64,31.5,181.9
2024-01-06 23:00:00,7.9,61.4,71.8,128.6,53.4,1.58,31.1,158.6
2024-01-07 00:00:00,7.0,58.1,80.4,169.8,53.2,2.02,30.7,163.2
2024-01-07 01:00:00,7.2,66.4,94.0,181.4,62.2,1.78,33.5,170.3
2024-01-07 02:00:00,2.7,76.8,98.8,163.4,50.8,1.64,33.4,172.8
2024-01-07 03:00:00,2.4,71.7,74.2,129.0,61.8,1.49,28.9,159.9
2024-01-07 04:00:00,6.2,77.4,89.0,,,,35.6,167.7
2024-01-07 05:00:00,6.3,67.3,74.2,113.1,54.8,2.15,36.8,159.9
2024-01-07 06:00:00,7.0,,73.7,121.7,57.8,1.84,29.0,159.6
2024-01-07 07:00:00,8.2,62.4,113.5,193.0,54.2,2.15,33.7,180.6
2024-01-07 08:00:00,7.3,58.3,87.0,167.3,66.4,1.99,39.0,166.6
2024-01-07 09:00:00,10.5,59.5,120.8,217.9,80.7,1.98,30.1,184.4
2024-01-07 10:00:00,11.9,53.6,77.7,127.3,52.7,1.87,31.2,161.7
2024-01-07 11:00:00,11.1,46.3,95.5,179.4,60.5,,23.8,171.1
2024-01-07 12:00:00,17.3,50.6,74.5,176.6,35.0,2.11,33.4,160.1
2024-01-07 13:00:00,15.3,50.1,82.7,157.4,48.9,1.58,25.7,164.4
2024-01-07 14:00:00,12.4,,65.9,116.1,55.8,1.65,30.4,155.5
2024-01-07 15:00:00,16.3,52.7,96.3,177.8,53.3,1.79,30.4,171.5
2024-01-07 16:00:00,12.9,54.5,82.8,132.3,60.8,1.81,27.6,164.4
2024-01-07 17:00:00,15.9,53.2,85.7,131.1,45.4,2.19,37.7,165.9
2024-01-07 18:00:00,15.9,53.2,87.1,162.7,65.8,2.59,29.6,166.7
2024-01-07 19:00:00,10.9,47.9,100.1,,73.0,2.85,34.8,173.5
2024-01-07 20:00:00,,57.6,86.5,153.0,65.9,1.9,26.3,166.4
2024-01-07 21:00:00,10.8,63.0,91.9,164.8,64.3,1.84,28.8,169.2
2024-01-07 22:00:00,10.4,70.4,76.7,146.8,43.3,1.78,27.0,161.2
2024-01-07 23:00:00,11.3,69.4,102.4,183.4,51.1,1.78,23.4,174.7
2024-01-08 00:00:00,6.0,74.7,77.4,139.8,80.5,1.97,28.9,161.6
2024-01-08 01:00:00,4.2,65.2,87.7,159.6,62.0,2.01,35.9,167.0
2024-01-08 02:00:00,3.4,70.0,115.3,191.0,51.9,2.16,33.0,181.5
2024-01-08 03:00:00,3.4,74.1,89.5,135.3,73.1,1.71,32.3,167.9
2024-01-08 04:00:00,5.0,77.4,96.9,158.0,60.7,1.87,35.4,171.8
2024-01-08 05:00:00,6.4,69.7,91.2,,,2.35,38.2,168.8
2024-01-08 06:00:00,7.0,68.1,90.4,148.3,72.9,2.25,26.2,168.4
2024-01-08 07:00:00,9.2,69.4,89.7,183.3,80.8,3.07,23.0,168.1
2024-01-08 08:00:00,8.7,57.5,77.6,136.3,91.9,2.96,28.8,161.7
2024-01-08 09:00:00,12.9,68.0,84.0,138.6,85.4,3.06,39.9,165.1
2024-01-08 10:00:00,10.8,52.5,76.6,140.7,78.6,2.65,31.1,161.2
2024-01-08 11:00:00,17.9,44.4,82.1,160.3,68.9,2.1,32.4,164.1
2024-01-08 12:00:00,14.8,,70.8,153.4,83.6,1.8,30.0,158.1
2024-01-08 13:00:00,12.6,58.1,,172.7,59.6,2.17,33.1,164.6
2024-01-08 14:00:00,12.7,51.3,111.2,172.8,54.5,2.04,31.8,179.4
2024-01-08 15:00:00,16.0,51.8,112.1,185.8,59.7,2.12,31.4,179.8
2024-01-08 16:00:00,14.4,48.6,96.3,162.0,81.2,2.25,31.0,171.5
2024-01-08 17:00:00,15.8,48.8,82.9,142.5,68.1,2.36,31.8,164.5
2024-01-08 18:00:00,14.5,,90.8,186.1,100.1,3.06,27.1,168.6
2024-01-08 19:00:00,12.4,42.7,111.6,198.0,114.5,2.97,29.6,179.6
2024-01-08 20:00:00,9.6,57.9,94.8,154.4,103.4,2.79,30.4,170.7
2024-01-08 21:00:00,7.0,66.6,131.8,215.8,78.1,2.56,29.8,190.2
2024-01-08 22:00:00,7.8,64.8,97.0,157.8,77.5,2.53,40.3,171.9
2024-01-08 23:00:00,9.2,69.1,94.5,149.2,74.3,2.13,32.3,170.6
2024-01-09 00:00:00,6.9,76.4,91.9,158.8,61.5,1.88,32.1,169.2
2024-01-09 01:00:00,3.2,72.0,86.8,162.2,56.2,2.1,28.3,166.5
2024-01-09 02:00:00,5.5,71.0,86.9,148.4,,2.34,28.0,166.6
2024-01-09 03:00:00,5.8,67.9,88.9,137.1,72.1,2.25,30.3,167.6
2024-01-09 04:00:00,3.4,,89.3,159.3,76.1,1.74,27.3,167.8
2024-01-09 05:00:00,6.0,73.0,71.5,131.3,68.5,,26.1,158.5
2024-01-09 06:00:00,6.6,63.8,67.8,103.9,72.8,2.64,26.5,156.5
2024-01-09 07:00:00,5.2,60.1,80.7,140.0,84.3,2.76,38.1,163.3
2024-01-09 08:00:00,9.4,69.4,87.2,144.6,106.3,2.6,25.4,166.7
2024-01-09 09:00:00,11.1,54.8,115.4,187.4,86.7,2.41,34.2,181.6
2024-01-09 10:00:00,13.5,66.2,104.0,177.1,80.3,2.21,33.0,175.6
2024-01-09 11:00:00,14.6,40.2,76.0,141.0,77.0,1.89,35.0,160.8
2024-01-09 12:00:00,10.8,58.6,81.0,,,1.85,39.3,163.5
2024-01-09 13:00:00,12.5,52.0,81.4,136.5,60.0,1.8,34.1,163.7
2024-01-09 14:00:00,15.9,49.0,131.2,211.5,67.0,2.05,31.3,189.9
2024-01-09 15:00:00,16.0,47.1,89.9,140.6,61.1,2.05,27.6,168.2
2024-01-09 16:00:00,15.9,57.9,130.1,211.4,68.2,2.28,31.9,189.3
2024-01-09 17:00:00,22.0,,99.6,169.2,65.2,2.73,35.2,173.3
2024-01-09 18:00:00,14.7,47.0,96.9,202.5,100.7,2.71,34.8,171.8
2024-01-09 19:00:00,14.8,45.4,75.3,154.4,90.4,3.44,24.5,160.5
2024-01-09 20:00:00,13.2,57.8,91.8,149.6,102.3,3.14,35.9,169.2
2024-01-09 21:00:00,11.3,60.0,103.5,169.6,74.0,2.24,30.9,175.3
2024-01-09 22:00:00,,55.5,80.5,128.2,61.3,2.38,37.5,163.2
2024-01-09 23:00:00,9.0,65.7,111.1,214.9,53.4,2.04,34.8,179.3
2024-01-10 00:00:00,4.9,65.6,109.6,219.9,47.2,,39.4,178.5
2024-01-10 01:00:00,5.2,70.4,68.6,132.4,77.4,2.16,,156.9
2024-01-10 02:00:00,4.2,75.2,68.3,115.8,71.2,1.97,35.0,156.8
2024-01-10 03:00:00,5.2,79.5,115.9,196.4,66.4,2.02,31.4,181.8
2024-01-10 04:00:00,9.8,76.1,75.7,119.9,76.6,1.97,32.7,160.7
2024-01-10 05:00:00,1.9,66.8,77.2,133.3,,2.22,25.0,161.5
2024-01-10 06:00:00,7.8,70.3,72.0,113.0,66.5,2.35,34.8,158.7
2024-01-10 07:00:00,4.3,66.3,86.1,138.7,86.5,2.79,22.3,166.2
2024-01-10 08:00:00,7.8,56.4,87.4,140.5,86.6,2.85,29.4,166.8
2024-01-10 09:00:00,12.2,,,160.5,,2.39,31.5,164.5
2024-01-10 10:00:00,11.4,66.2,120.3,195.7,99.2,2.36,34.8,184.2
2024-01-10 11:00:00,10.3,54.2,116.5,188.8,76.5,2.28,,182.2
2024-01-10 12:00:00,12.1,43.5,83.7,128.0,68.1,2.29,32.7,164.9
2024-01-10 13:00:00,15.7,49.8,106.0,172.0,65.6,1.73,26.9,176.6
2024-01-10 14:00:00,13.4,42.3,89.3,137.3,78.8,2.09,31.9,167.8
2024-01-10 15:00:00,15.4,52.3,107.3,188.6,67.9,2.37,34.1,177.3
2024-01-10 16:00:00,14.9,51.0,123.1,254.1,76.8,2.2,28.6,185.6
2024-01-10 17:00:00,13.0,,91.1,161.8,,2.86,27.3,168.8
2024-01-10 18:00:00,17.8,49.9,70.4,120.4,88.5,2.53,32.0,157.9
2024-01-10 19:00:00,13.8,52.9,115.9,208.7,101.5,2.93,22.5,181.8
2024-01-10 20:00:00,7.2,56.9,85.1,145.9,102.0,2.71,27.2,165.6
2024-01-10 21:00:00,10.4,56.1,105.3,183.0,80.2,2.62,33.1,176.3
2024-01-10 22:00:00,7.4,56.2,144.5,286.7,76.1,2.23,39.4,196.9
2024-01-10 23:00:00,9.2,71.7,87.0,159.6,,2.38,34.1,166.6
2024-01-11 00:00:00,4.9,66.6,117.7,186.4,68.4,2.27,29.2,182.8
2024-01-11 01:00:00,5.4,71.2,101.0,179.1,73.8,1.99,21.4,174.0
2024-01-11 02:00:00,6.2,73.0,,208.7,65.4,2.22,34.2,181.3
2024-01-11 03:00:00,6.7,73.6,97.4,187.5,63.9,1.91,33.5,172.1
2024-01-11 04:00:00,2.8,65.7,95.2,173.5,61.8,2.26,24.9,170.9
2024-01-11 05:00:00,5.0,62.0,94.6,159.6,64.1,1.79,28.8,170.6
2024-01-11 06:00:00,5.5,65.5,88.8,158.1,85.4,2.91,29.2,167.6
2024-01-11 07:00:00,6.2,68.0,157.8,254.2,80.9,2.84,44.7,207.4
2024-01-11 08:00:00,12.2,59.5,97.6,,90.8,3.26,24.3,172.2
2024-01-11 09:00:00,10.8,58.2,109.7,204.5,77.8,2.88,35.8,178.6
2024-01-11 10:00:00,8.8,67.5,74.3,119.2,74.2,2.23,32.3,159.9
2024-01-11 11:00:00,14.3,44.8,138.0,214.6,75.7,1.53,36.4,193.5
2024-01-11 12:00:00,17.8,47.7,112.8,173.6,56.5,1.95,24.9,180.2
2024-01-11 13:00:00,16.4,59.1,76.6,136.4,57.5,2.22,32.7,161.2
2024-01-11 14:00:00,11.8,48.2,97.2,183.5,77.5,1.77,34.8,172.0
2024-01-11 15:00:00,14.0,44.5,97.4,161.0,63.0,2.54,31.2,172.1
2024-01-11 16:00:00,17.4,54.3,107.9,182.8,79.0,2.27,27.3,177.6
2024-01-11 17:00:00,12.9,49.9,91.1,158.1,77.9,3.07,31.7,168.8
2024-01-11 18:00:00,14.4,49.8,81.0,,86.4,2.84,25.7,163.5
2024-01-11 19:00:00,14.0,55.0,,,115.5,3.24,31.6,174.3
2024-01-11 20:00:00,9.4,53.6,83.0,131.0,90.9,3.07,31.5,164.5
2024-01-11 21:00:00,9.9,54.9,148.8,251.6,87.0,2.29,34.6,199.2
2024-01-11 22:00:00,2.2,62.5,94.9,166.2,71.3,2.39,30.7,170.8
2024-01-11 23:00:00,5.5,,70.5,,65.8,,31.5,157.9
2024-01-12 00:00:00,6.0,,82.4,146.0,75.1,2.23,,164.2
2024-01-12 01:00:00,3.2,72.2,92.4,172.2,62.0,2.33,,169.5
2024-01-12 02:00:00,8.4,,152.9,257.9,57.3,1.77,33.9,202.5
2024-01-12 03:00:00,2.1,77.6,73.8,151.3,62.8,2.19,31.3,159.7
2024-01-12 04:00:00,4.3,69.6,71.7,111.5,65.9,1.85,26.5,158.6
2024-01-12 05:00:00,5.9,72.9,90.1,152.8,64.0,1.96,31.2,168.3
2024-01-12 06:00:00,9.3,70.9,92.2,158.6,69.4,2.17,40.4,169.4
2024-01-12 07:00:00,4.6,67.6,99.8,185.2,75.2,2.77,32.2,173.4
2024-01-12 08:00:00,11.0,60.7,103.4,,86.7,3.05,37.0,175.3
2024-01-12 09:00:00,10.0,54.9,96.7,168.8,73.6,,34.0,171.7
2024-01-12 10:00:00,9.3,59.4,133.5,211.6,66.8,,28.8,191.1
2024-01-12 11:00:00,,45.5,92.6,152.5,74.0,1.85,31.9,169.6
2024-01-12 12:00:00,13.9,50.2,77.4,126.2,74.0,2.16,33.0,161.6
2024-01-12 13:00:00,13.1,36.8,105.0,169.2,65.5,1.98,31.3,176.1
2024-01-12 14:00:00,15.0,41.7,103.1,166.0,53.5,1.88,37.4,175.1
2024-01-12 15:00:00,14.2,43.6,82.1,133.0,63.4,,30.0,164.1
2024-01-12 16:00:00,15.1,53.9,69.4,150.3,81.4,2.11,33.2,157.4
2024-01-12 17:00:00,15.7,53.0,85.8,137.1,85.3,2.56,,166.0
2024-01-12 18:00:00,16.7,48.7,97.6,170.6,83.1,3.07,36.0,172.2
2024-01-12 19:00:00,10.0,57.6,75.4,120.0,104.0,2.91,29.4,160.5
2024-01-12 20:00:00,15.6,61.3,84.9,141.5,89.5,2.89,,165.5
2024-01-12 21:00:00,6.1,,76.2,134.4,76.7,2.91,32.8,160.9
2024-01-12 22:00:00,8.4,56.2,75.6,117.6,74.9,,33.1,160.6
2024-01-12 23:00:00,8.7,65.0,90.6,160.3,66.5,2.04,34.4,168.5
2024-01-13 00:00:00,7.0,68.0,90.6,150.8,66.0,1.57,29.1,168.5
2024-01-13 01:00:00,4.4,64.2,76.5,137.3,57.6,2.03,28.5,161.1
2024-01-13 02:00:00,4.8,73.4,101.7,182.3,51.4,1.7,38.0,174.4
2024-01-13 03:00:00,4.0,73.4,105.2,170.7,57.1,1.6,34.7,176.2
2024-01-13 04:00:00,4.0,73.8,70.4,128.4,45.2,1.66,25.4,157.9
2024-01-13 05:00:00,,71.8,117.4,211.6,66.6,1.55,26.8,182.6
2024-01-13 06:00:00,7.2,72.1,92.8,177.4,62.8,1.62,27.7,169.7
2024-01-13 07:00:00,6.1,65.1,107.5,186.5,86.4,2.12,35.8,177.4
2024-01-13 08:00:00,10.5,64.1,109.3,,67.0,2.57,31.6,178.4
2024-01-13 09:00:00,10.6,58.0,92.4,171.6,51.8,2.14,27.7,169.5
2024-01-13 10:00:00,12.9,54.0,111.3,180.2,57.8,1.86,33.0,179.4
2024-01-13 11:00:00,13.8,60.7,91.5,164.1,37.0,1.86,36.5,169.0
2024-01-13 12:00:00,11.9,41.3,112.3,188.5,70.8,1.7,35.1,179.9
2024-01-13 13:00:00,13.2,54.0,69.7,143.0,,1.36,34.1,157.5
2024-01-13 14:00:00,16.3,45.3,,202.8,42.0,1.74,24.2,183.8
2024-01-13 15:00:00,16.2,44.2,134.9,217.2,49.0,1.35,29.3,191.8
2024-01-13 16:00:00,14.8,49.7,92.3,147.9,44.8,2.1,33.6,169.4
2024-01-13 17:00:00,14.6,42.2,105.9,185.0,57.8,2.19,26.7,176.6
2024-01-13 18:00:00,16.1,47.4,96.4,166.9,87.3,2.46,,171.6
2024-01-13 19:00:00,11.3,49.8,75.6,117.1,82.0,,,160.6
2024-01-13 20:00:00,12.4,55.8,80.1,191.7,,2.15,30.3,163.0
2024-01-13 21:00:00,9.6,56.0,98.1,168.1,67.9,2.23,37.4,172.5
2024-01-13 22:00:00,,71.1,77.6,139.4,57.9,1.89,27.9,161.7
2024-01-13 23:00:00,9.7,75.0,143.6,256.6,42.2,1.83,30.3,196.4
2024-01-14 00:00:00,8.1,58.4,104.2,182.4,54.3,1.58,24.8,175.7
2024-01-14 01:00:00,7.3,73.1,114.7,183.0,70.7,1.77,35.0,181.2
2024-01-14 02:00:00,7.8,75.9,72.4,124.3,59.7,1.65,43.6,158.9
2024-01-14 03:00:00,5.0,74.7,84.4,135.2,55.1,1.87,25.0,165.3
